xpos	upos	feats
BE	AUX	VerbForm=Inf
BEI	AUX	Mood=Imp|Tense=Pres
BEPH	AUX	Mood=Imp,Sub
BEPI	AUX	Mood=Ind|Tense=Pres
BEPS	AUX	Mood=Sub|Tense=Pres
BEP	AUX	Mood=Ind,Sub|Tense=Pres
BEDI	AUX	Mood=Ind|Tense=Past
BEDS	AUX	Mood=Sub|Tense=Past
BED	AUX	Mood=Ind,Sub|Tense=Past
BAG	AUX	Aspect=Imp|VerbForm=Part
BEN	AUX	Aspect=Perf|VerbForm=Part|Tense=Past
BE^D	VERB	VerbForm=Inf
HV	VERB	VerbForm=Inf
HVI	VERB 	Mood=Imp|Tense=Pres
HVPI	VERB	Mood=Ind|Tense=Pres
HVPS	VERB	Mood=Sub|Tense=Pres
HVP	VERB	Mood=ImpSub|Tense=Pres
HVDI	VERB	Mood=Ind|Tense=Past
HVDS	VERB	Mood=Sub|Tense=Past
HVD	VERB	Mood=Ind,Sub|Tense=Past
HAG	VERB	Aspect=Imp|VerbForm=Part|Tense=Pres
HVN	VERB	Aspect=Perf|VerbForm=Part|Tense=Past
HV^D	VERB	VerbForm=Inf
VB	VERB	VerbForm=Inf
VBI	VERB	Mood=Imp|Tense=Pres
VBPH	VERB	Mood=Imp, Sub
VBPI	VERB	Mood=Ind|Tense=Pres
VBPS	VERB	Mood=Sub|Tense=Pres
VBP	VERB	Mood=Ind, Sub|Tense=Pres
VBDI	VERB	Mood=Ind|Tense=Past
VBDS	VERB	Mood=Sub|Tense=Past
VBD	VERB	Mood=Ind,Sub|Tense=Past
VB^D	VERB	VerbForm=Inf
VAG	VERB	Aspect=Imp|VerbForm=Part|Tense=Pres
VAG^N	VERB	VerbForm=Part|Tense=Pres|Case=Nom
VAG^A	VERB	VerbForm=Part|Tense=Pres|Case=Acc
VAG^G	VERB	VerbForm=Part|Tense=Pres|Case=Gen
VAG^D	VERB	VerbForm=Part|Tense=Pres|Case=Dat
VBN	VERB	VerbForm=Part|Tense=Past
VBN^N	VERB	VerbForm=Part|Tense=Past|Case=Nom
VBN^A	VERB	VerbForm=Part|Tense=Past|Case=Acc
VBN^G	VERB	VerbForm=Part|Tense=Past|Case=Gen
VBN^D	VERB	VerbForm=Part|Tense=Past|Case=Dat
AX	VERB	VerbForm=Inf
AXI	VERB	Mood=Imp|Tense=Pres
AXPI	VERB	Mood=Ind|Tense=Pres
AXPS	VERB	Mood=Sub|Tense=Pres
AXP	VERB	Mood=Ind,Sub|Tense=Pres
AXDI	VERB	Mood=Ind|Tense=Past
AXDS	VERB	Mood=Sub|Tense=Past
AXD	VERB	Mood=Ind, Sub|Tense=Past
AXG	VERB	Aspect=Imp|VerbForm=Part|Tense=Pres
AXN	VERB	Aspect=Perf|VerbForm=Part|Tense=Past
MD	VERB	VerbForm=Inf
MDI	VERB	Mood=Imp|Tense=Pres 
MDPI	VERB	Mood=Ind|Tense=Pres
MDPS	VERB	Mood=Sub|Tense=Pres
MDP	VERB	Mood=Ind,Sub|Tense=Pres
MDDI	VERB	Mood=Ind|Tense=Past
MDDS	VERB	Mood=Sub|Tense=Past
MDD	VERB	Mood=Ind,Sub|Tense=Past
TO	ADP	_
N	NOUN	_
N^N	NOUN	Case=Nom
N^A	NOUN	Case=Acc
N^G	NOUN	Case=Gen
N^D	NOUN	Case=Dat
NR	PROPN	_
NR^N	PROPN	Case=Nom
NR^A	PROPN	Case=Acc
NR^G	PROPN	Case=Gen
NR^D	PROPN	Case=Dat
NPR^N	PROPN	Case=Nom
NPR^A	PROPN	Case=Acc
NPR^G	PROPN	Case=Gen
NPR^D	PROPN	Case=Dat
MAN	PRON	Number=Sing|PronType=Ind
MAN^N	PRON	PronType=Ind|Case=Nom|Number=Sing
PRO	PRON	PronType=Prs
PRO^N	PRON	PronType=Prs|Case=Nom
PRO^A	PRON	PronType=Prs|Case=Acc
PRO^G	PRON	PronType=Prs|Case=Gen
PRO^D	PRON	PronType=Prs|Case=Dat
PRO$	DET	PronType=Prs|Poss=Yes
PRO$	PRON	PronType=Prs
PRO$^N	PRON	PronType=Prs|Case=Nom|Poss=Yes
PRO$^A	PRON	PronType=Prs|Case=Acc|Poss=Yes
PRO$^G	PRON	PronType=Prs|Case=Gen|Poss=Yes
PRO$^D	PRON	PronType=Prs|Case=Dat|Poss=Yes
PRO$^I	PRON	PronType=Prs|Case=Ins|Poss=Yes
ADJ	ADJ	Degree=Pos
ADJ^N	ADJ	Degree=Pos|Case=Nom
ADJ^A	ADJ	Degree=Pos|Case=Acc
ADJ^G	ADJ	Degree=Pos|Case=Gen
ADJ^D	ADJ	Degree=Pos|Case=Dat
ADJ^I	ADJ	Degree=Pos|Case=Ins
ADJR	ADJ	Degree=Cmp
ADJR^N	ADJ	Degree=Cmp|Case=Nom
ADJR^A	ADJ	Degree=Cmp|Case=Acc
ADJR^G	ADJ	Degree=Cmp|Case=Gen
ADJR^D	ADJ	Degree=Cmp|Case=Dat
ADJR^I	ADJ	Degree=Cmp|Case=Ins
ADJS	ADJ	Degree=Sup
ADJS^N	ADJ	Degree=Sup|Case=Nom
ADJS^A	ADJ	Degree=Sup|Case=Acc
ADJS^G	ADJ	Degree=Sup|Case=Gen
